outil,niveau,fichier,taille_compressee,compression (%),temps (s),ratio (compression/temps)
gzip,1,../data/meteo_nettoyee.json,6883,88.55123087159016,0.0029904842376708984,29611.000705543658
gzip,9,../data/meteo_nettoyee.json,4618,92.31869594145043,0.006994485855102539,13198.782277056594
lz4,0,../data/meteo_nettoyee.json,9459,84.26646706586827,0.004000186920166016,21065.632368592178
lz4,16,../data/meteo_nettoyee.json,6712,88.8356620093147,0.007995843887329102,11110.229671953863
zstd,1,../data/meteo_nettoyee.json,5130,91.46706586826348,0.003999948501586914,22867.060871402573
zstd,22,../data/meteo_nettoyee.json,3496,94.1849634065203,0.03784465789794922,2488.725453946411
gzip,1,../data/meteo_nettoyee_large.json,332989,88.92252162341983,0.011999130249023438,7410.747260673905
gzip,9,../data/meteo_nettoyee_large.json,211352,92.96899534264804,0.18287920951843262,508.36284554957894
lz4,0,../data/meteo_nettoyee_large.json,226490,92.46540252827677,0.003939390182495117,23472.009180291796
lz4,16,../data/meteo_nettoyee_large.json,18856,99.37272122421822,0.011524438858032227,8622.781763899775
zstd,1,../data/meteo_nettoyee_large.json,5445,99.8188622754491,0.0033392906188964844,29892.23570736579
zstd,22,../data/meteo_nettoyee_large.json,3769,99.87461743180306,0.06452012062072754,1547.9607984445963
